size_mm,distance_mm,r_over_a,max_rel_error,mean_rel_error
10.0,39.08398212318299,3.9083982123182994,0.0010410965581864582,0.0005932287114542989
10.0,44.814047465571655,4.481404746557165,0.0006043866671652905,0.00034286596634103603
10.0,51.38419222270776,5.138419222270776,0.00035057693484401666,0.00019821651140016945
10.0,58.91757963635432,5.891757963635432,0.0002032269777405459,0.00011461405859119706
10.0,67.55542979368121,6.755542979368121,0.0001177534479327061,6.62821602500326e-05
10.0,77.45966692414834,7.745966692414834,6.82039312439646e-05,3.8335426842803214e-05
10.0,88.81595481406012,8.881595481406011,3.949354758749551e-05,2.2173657253676617e-05
10.0,101.83717724035255,10.183717724035255,2.2864006138939122e-05,1.2826237997381198e-05
10.0,116.76742866745846,11.676742866745846,1.3234564894306513e-05,7.419590922548088e-06
10.0,133.88659001643393,13.388659001643394,7.659750411656998e-06,4.292148087598397e-06
10.0,153.51557528323224,15.351557528323223,4.432815717708407e-06,2.483019052142283e-06
10.0,176.02234735867873,17.60223473586787,2.5651602361148426e-06,1.4364595950109617e-06
10.0,201.82881582207492,20.18288158220749,1.4843145121485423e-06,8.310227092462894e-07
10.0,231.41874601374366,23.141874601374365,8.588581436409986e-07,4.80769452741087e-07
10.0,265.3468276491572,26.534682764915715,4.969417777422142e-07,2.781405898774826e-07
10.0,304.24907297393275,30.42490729739328,2.8754186190976497e-07,1.6091430439756873e-07
10.0,348.8547393824157,34.88547393824157,1.6637787189748616e-07,9.309494973595306e-08
10.0,400.0,40.0,9.62650797169869e-08,5.385956501990795e-08
12.0,18.000000000000004,1.5,0.04422886621611457,0.02817985830915188
12.0,20.638962832341914,1.7199135693618262,0.02617175162807297,0.01615463867451379
12.0,23.6648214885995,1.9720684573832916,0.015406895749496283,0.009283419415143634
12.0,27.13429839651174,2.261191533042645,0.009033072592614225,0.00534467061604045
12.0,31.112432004848923,2.5927026670707436,0.005279476433465496,0.003081217668381098
12.0,35.67379598732456,2.9728163322770462,0.0030782011425765847,0.0017780650876429735
12.0,40.90389719282997,3.408658099402498,0.0017914319936163149,0.0010267773446956806
12.0,46.90077854781959,3.9083982123182994,0.0010410965582834171,0.0005932287114552698
12.0,53.77685695868598,4.481404746557165,0.0006043866670192388,0.00034286596634444113
12.0,61.66103066724931,5.138419222270776,0.0003505769348432847,0.00019821651140241784
12.0,70.70109556362517,5.891757963635432,0.0002032269777411739,0.00011461405858583167
12.0,81.06651575241746,6.755542979368121,0.00011775344843274985,6.628216024846361e-05
12.0,92.951600308978,7.745966692414834,6.820393048646172e-05,3.8335426836606775e-05
12.0,106.57914577687214,8.881595481406011,3.949354644767989e-05,2.217365724325222e-05
12.0,122.20461268842305,10.183717724035255,2.2864006140295073e-05,1.2826238004396248e-05
12.0,140.12091440095014,11.676742866745846,1.3234563592592113e-05,7.4195909199910945e-06
12.0,160.6639080197207,13.388659001643394,7.659750412779429e-06,4.292148118276424e-06
12.0,184.21869033987866,15.351557528323223,4.432815727736082e-06,2.4830190171144685e-06
12.0,211.22681683041444,17.60223473586787,2.565164652409182e-06,1.436459599795682e-06
12.0,242.1945789864899,20.18288158220749,1.4843145387085322e-06,8.310226656904794e-07
12.0,277.70249521649237,23.141874601374365,8.588581163037811e-07,4.807694976507569e-07
12.0,318.4161931789886,26.534682764915715,4.969417784299636e-07,2.7814062468204275e-07
12.0,365.0988875687193,30.42490729739328,2.875188599838319e-07,1.6091427438226144e-07
12.0,418.62568725889884,34.88547393824157,1.6636060720795407e-07,9.309486076421193e-08
12.0,480.0,40.0,9.623892624130608e-08,5.385950055929027e-08
15.0,22.5,1.5,0.04422886621610848,0.02817985830915183
15.0,25.798703540427393,1.7199135693618262,0.026171751628072233,0.016154638674513805
15.0,29.581026860749375,1.9720684573832916,0.01540689574949595,0.009283419415143664
15.0,33.91787299563967,2.261191533042645,0.00903307259261459,0.005344670616040596
15.0,38.89054000606115,2.5927026670707436,0.005279476433436511,0.003081217668380729
15.0,44.59224498415569,2.9728163322770462,0.0030782011425768228,0.0017780650876431925
15.0,51.12987149103747,3.408658099402498,0.0017914319936158617,0.0010267773446959937
15.0,58.625973184774494,3.9083982123182994,0.0010410965582832632,0.0005932287114557536
15.0,67.22107119835748,4.481404746557165,0.000604386667164548,0.0003428659663431628
15.0,77.07628833406163,5.138419222270776,0.0003505769348443926,0.00019821651140031215
15.0,88.37636945453148,5.891757963635432,0.00020322697774029377,0.00011461405858724517
15.0,101.3331446905218,6.755542979368121,0.0001177534484314897,6.628216025144045e-05
15.0,116.1895003862225,7.745966692414834,6.820393124531203e-05,3.833542683542928e-05
15.0,133.22393222109017,8.881595481406011,3.9493547587585786e-05,2.2173657250424366e-05
15.0,152.7557658605288,10.183717724035255,2.2864006141125755e-05,1.282623800383138e-05
15.0,175.15114300118768,11.676742866745846,1.3234564879703664e-05,7.419590923286321e-06
15.0,200.8298850246509,13.388659001643394,7.659750415118664e-06,4.292148107639625e-06
15.0,230.27336292484836,15.351557528323223,4.432818659415327e-06,2.4830190547774654e-06
15.0,264.033521038018,17.60223473586787,2.5651602241677707e-06,1.4364596169769654e-06
15.0,302.74322373311236,20.18288158220749,1.4843145206209193e-06,8.310226098945362e-07
15.0,347.1281190206155,23.141874601374365,8.588581436141885e-07,4.807695124031603e-07
15.0,398.0202414737357,26.534682764915715,4.969341559693862e-07,2.781406058128136e-07
15.0,456.37360946089916,30.42490729739328,2.875189477152637e-07,1.6091414158861515e-07
15.0,523.2821090736235,34.88547393824157,1.6636067030594384e-07,9.309454442509557e-08
15.0,600.0,40.0,9.62649385697604e-08,5.3859536563383e-08
20.0,30.0,1.5,0.044228866216109074,0.028179858309151803
20.0,34.39827138723652,1.7199135693618262,0.026171751628072736,0.016154638674513878
20.0,39.44136914766583,1.9720684573832916,0.015406895749496368,0.009283419415143823
20.0,45.2238306608529,2.261191533042645,0.009033072592614232,0.005344670616040323
20.0,51.854053341414875,2.5927026670707436,0.005279476433465116,0.00308121766838145
20.0,59.456326645540926,2.9728163322770462,0.003078201142576764,0.0017780650876430856
20.0,68.17316198804997,3.408658099402498,0.0017914319936163598,0.0010267773446968958
20.0,78.16796424636598,3.9083982123182994,0.0010410965581861954,0.0005932287114544966
20.0,89.62809493114331,4.481404746557165,0.0006043866670183394,0.0003428659663414954
20.0,102.76838444541552,5.138419222270776,0.00035057693484401666,0.00019821651139976986
